Time,Execution Time
Thu Nov 26 14:49:32 2020,0.10828018188476562
Thu Nov 26 14:49:33 2020,0.1029350757598877
Thu Nov 26 14:49:35 2020,0.11251306533813477
Thu Nov 26 14:49:36 2020,0.1066439151763916
Thu Nov 26 14:49:37 2020,0.10394978523254395
Thu Nov 26 14:49:38 2020,0.10218501091003418
Thu Nov 26 14:49:39 2020,0.10783100128173828
Thu Nov 26 14:49:40 2020,0.10615396499633789
Thu Nov 26 14:49:41 2020,0.10642123222351074
Thu Nov 26 14:49:42 2020,0.10121321678161621
Thu Nov 26 14:49:43 2020,0.10362505912780762
Thu Nov 26 14:49:45 2020,0.10968494415283203
Thu Nov 26 14:49:46 2020,0.10704684257507324
Thu Nov 26 14:49:47 2020,0.10136532783508301
Thu Nov 26 14:49:48 2020,0.1085202693939209
Thu Nov 26 14:49:49 2020,0.10766100883483887
Thu Nov 26 14:49:50 2020,0.09905481338500977
Thu Nov 26 14:49:51 2020,0.10582804679870605
Thu Nov 26 14:49:52 2020,0.1044149398803711
Thu Nov 26 14:49:53 2020,0.10188913345336914
Thu Nov 26 14:49:55 2020,0.10114908218383789
Thu Nov 26 14:49:56 2020,0.11543011665344238
Thu Nov 26 14:49:57 2020,0.10413217544555664
Thu Nov 26 14:49:58 2020,0.10268783569335938
Thu Nov 26 14:49:59 2020,0.10657572746276855
Thu Nov 26 14:50:00 2020,0.10053706169128418
Thu Nov 26 14:50:01 2020,0.10464787483215332
Thu Nov 26 14:50:02 2020,0.10183596611022949
Thu Nov 26 14:50:03 2020,0.10616707801818848
Thu Nov 26 14:50:05 2020,0.10412907600402832
Thu Nov 26 14:50:06 2020,0.10733675956726074
Thu Nov 26 14:50:07 2020,0.11023473739624023
Thu Nov 26 14:50:08 2020,0.10188913345336914
Thu Nov 26 14:50:09 2020,0.1001589298248291
Thu Nov 26 14:50:10 2020,0.10433602333068848
Thu Nov 26 14:50:11 2020,0.10884904861450195
Thu Nov 26 14:50:12 2020,0.1080629825592041
Thu Nov 26 14:50:13 2020,0.11440706253051758
Thu Nov 26 14:50:15 2020,0.10254383087158203
Thu Nov 26 14:50:16 2020,0.10733294486999512
Thu Nov 26 14:50:17 2020,0.11029410362243652
Thu Nov 26 14:50:18 2020,0.10708212852478027
Thu Nov 26 14:50:19 2020,0.10443806648254395
Thu Nov 26 14:50:20 2020,0.10356020927429199
Thu Nov 26 14:50:21 2020,0.10564398765563965
Thu Nov 26 14:50:22 2020,0.10517597198486328
Thu Nov 26 14:50:23 2020,0.09902286529541016
Thu Nov 26 14:50:24 2020,0.11404705047607422
Thu Nov 26 14:50:26 2020,0.10371923446655273
Thu Nov 26 14:50:27 2020,0.1067359447479248
Thu Nov 26 14:50:28 2020,0.10692715644836426
Thu Nov 26 14:50:29 2020,0.11169600486755371
Thu Nov 26 14:50:30 2020,0.10665607452392578
Thu Nov 26 14:50:31 2020,0.11159610748291016
Thu Nov 26 14:50:32 2020,0.09786391258239746
Thu Nov 26 14:50:33 2020,0.10600805282592773
Thu Nov 26 14:50:34 2020,0.11128091812133789
